Entry,OR_num,Labcode,Labcode_cmt,Site name,Site name_cmt,Probable correct site name,Site name in English,Corrected_name,location accuracy score (1=best),location_cmt,Lat,Long,location_recorder,per,Abb_Name,Prov,City,Sample name,Context,Context2,Context_cmt,Material,Materail_cmt,13C(0/00),13C(0/00)_range,uncal_bp,uncal_range,collected_season,SUBPHASE,SUBPHASE_cmt,seed_association,seed_cmt,Reference,Remark,dist_to_coast
25,OR24,SNU00-390,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,pit,C1PitⅢ-3a층(DK14),,pottery incrustation,,-27.5,,5930,110,Bae_et_al_2013,IC,,,,김종찬외2002 : 202,,57.4288603333
26,OR25,SNU00-393,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,pit,"B2PitⅢ-1층(DK1, 융선문)",,pottery incrustation,,-23.2,,6280,40,Bae_et_al_2013,IC,,,,김종찬외2002 : 202,,57.4288603333
27,OR26,SNU00-394,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,pit,"B2PitⅢ-1층(DK2, 융선문+융기문)",,pottery incrustation,,-21.5,,6260,40,Bae_et_al_2013,IC,,,,김종찬외2002 : 202,,57.4288603333
28,OR27,SNU00-395,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,pit,"A2~3PitⅢ-2b층(DK3, 구순각목)",,pottery incrustation,,-22.8,,6110,80,Bae_et_al_2013,IC,,,,김종찬외2002 : 202,,57.4288603333
29,OR28,SNU00-397,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,pit,"B2PitⅢ-3c층 (DK5, 침상자돌문)",,pottery incrustation,,-16.2,,6420,110,Bae_et_al_2013,IC,,,,김종찬외2002 : 202,,57.4288603333
30,OR29,SNU00-398,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,pit,"B2PitⅢ-3c층 (DK5, 침상자돌문)",,pottery incrustation,,-24.6,,5700,60,Bae_et_al_2013,IC,,,,김종찬외2002 : 202,,57.4288603333
31,OR30,SNU00-403,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,pit,"B3PitⅢ-2b하층 (DK11, 융대문)",,charcoal,,-23.2,,6740,30,Bae_et_al_2013,IC,,,,김종찬외2002 : 202,,57.4288603333
32,OR31,SNU00-403-1,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,pit,"B3PitⅢ-2b하층 (DK11, 융대문)",,charcoal,,-23.2,,6440,90,Bae_et_al_2013,IC,,,,김종찬외2002 : 202,,57.4288603333
33,OR32,SNU00-45,,상촌리,,,Sangchonri-Daepyeong,,1,,35.21863,127.969302,HK,,,경남,진주,,,,,,,,,4470,40,Bae_et_al_2013,,,,,,,13046.2883839
34,OR33,SNU00-48,,상촌리,,,Sangchonri-Daepyeong,,1,,35.21863,127.969302,HK,,,경남,진주,,pit,61호수혈,,charcoal,,-19.8,,4290,30,Jul 2020 (Kim),,,,,동의대박물관 2002:161-162,,13046.2883839
35,OR34,SNU00-94,,상촌리,,,Sangchonri-Daepyeong,,1,,35.21863,127.969302,HK,,,경남,진주,,,,,,,,,4600,100,Bae_et_al_2013,,,,,,,13046.2883839
36,OR35,SNU01-303,,상촌리,,,Sangchonri-Daepyeong,,1,,35.21863,127.969302,HK,,,경남,진주,,pit,Storage pit 5-1,,charcoal (annual),carbonized acorn,-19.34,,4150,60,Bae_et_al_2013,LC,봉계리식토기,,,이동주 2011:215,So says material is charcoal,13046.2883839
37,OR36,SNU01-376,,상촌리,,,Sangchonri-Daepyeong,,1,,35.21863,127.969302,HK,,,경남,진주,,house,22호주거지,,charcoal (annual),carbonized walnut,-35.7,,4030,40,Bae_et_al_2013,LC,봉계리식토기,,,"이동주 2011:215, 동아대학교박물관 2001",So says material is charcoal,13046.2883839
38,OR37,SNU01-377,,상촌리,,,Sangchonri-Daepyeong,,1,,35.21863,127.969302,HK,,,경남,진주,,,,,charcoal (annual),carbonized acorn,-26.1,,4150,30,Bae_et_al_2013,LC,,,,,,13046.2883839
44,OR43,SNU00-244,,노래섬 패총,,,Noraeseom,,1,보고서 좌표 사용함,35.941432,126.544383,HK,,,전북,군산,,strat,마지구 A 패층,,shell,,,,4380,40,Jul 2020 (Kim),,,,,원광대박물관 2002(Ⅰ):369-371,,174.50324917
45,OR44,SNU00-245,,노래섬 패총,,,Noraeseom,,1,보고서 좌표 사용함,35.941432,126.544383,HK,,,전북,군산,,strat,마지구 B 패층,,shell,,,,3930,40,Jul 2020 (Kim),,,,,원광대박물관 2002(Ⅰ):369-371,uncal bp 3930 according to SO,174.50324917
46,OR45,KCP-128,,노래섬 패총,,,Noraeseom,,1,보고서 좌표 사용함,35.941432,126.544383,HK,,,전북,군산,,strat,가지구  c2 pit (북벽 표토하 100cm 회색순패층),,shell,,,,5180,70,Jul 2020 (Kim),,,,,원광대박물관 2002(Ⅰ):369-371,,174.50324917
47,OR46,KCP-238,,노래섬 패총,,,Noraeseom,,1,보고서 좌표 사용함,35.941432,126.544383,HK,,,전북,군산,,strat,"가지구 B4-II, C4-I 사이둑 회갈색순패층(패각최하층)",,shell,,,,5046,63,Jul 2020 (Kim),,,,,원광대박물관 2002(Ⅰ):369-371,,174.50324917
48,OR47,KCP-240,,노래섬 패총,,,Noraeseom,,1,보고서 좌표 사용함,35.941432,126.544383,HK,,,전북,군산,,strat,"가지구 C1-II, C2-I 사이둑 회갈색순패층",,shell,,,,4976,60,Jul 2020 (Kim),,,,,원광대박물관 2002(Ⅰ):369-371,,174.50324917
49,OR48,KCP-237,,노래섬 패총,,,Noraeseom,,1,보고서 좌표 사용함,35.941432,126.544383,HK,,,전북,군산,,strat,가지구 c4-II (패각층 바닥면 흑갈색부식토층),,shell,,,,4541,60,Jul 2020 (Kim),,,,,원광대박물관 2002(Ⅰ):369-371,,174.50324917
50,OR49,KCP-239,,노래섬 패총,,,Noraeseom,,1,보고서 좌표 사용함,35.941432,126.544383,HK,,,전북,군산,,strat,"가지구 C2-II, C3-I 사이둑 회갈색순패층",,shell,,,,4090,58,Jul 2020 (Kim),,,,,원광대박물관 2002(Ⅰ):369-371,,174.50324917
51,OR50,NUTA2-1993,,노래섬 패총,,,Noraeseom,,1,보고서 좌표 사용함,35.941432,126.544383,HK,,,전북,군산,,strat,마지구 A 패층,,shell,,,,4245,25,Jul 2020 (Kim),,,,,원광대박물관 2002(Ⅰ):369-371,,174.50324917
52,OR51,NUTA2-1994,,노래섬 패총,,,Noraeseom,,1,보고서 좌표 사용함,35.941432,126.544383,HK,,,전북,군산,,strat,마지구 B 패층,,shell,,,,3895,25,Jul 2020 (Kim),,,,,원광대박물관 2002(Ⅰ):369-371,,174.50324917
53,OR52,SNU01-027,,진그늘,,,Jingueneul,,1,정천면 모정리 1852,35.886225,127.472179,HL,,,전북,진안,,acorn accumulation,도토리집중구역,,charcoal (annual),acorn,,,4500,300,Bae_et_al_2013,MC,수가리1식토기 관련유적,,,조선대박물관 2005:217-221; 진안 진그늘 선사유적,,57897.0881255999
54,OR53,SNU01-131,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,stone accumulation,1호적석(-30),30 cm under modern arable land,charcoal,,-22.8,,3760,80,Bae_et_al_2013,FC,말기 율리식(이중구연)토기,,,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context,57829.9983969
55,OR54,SNU01-132,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,house,1호주거지(-30),30 cm under modern arable land,charcoal,,-22.73,,4510,40,Bae_et_al_2013,MC,,,,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context,57829.9983969
56,OR55,SNU01-133,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,house,1호주거지(-30),30 cm under modern arable land,charcoal,,-24.02,,4560,40,Bae_et_al_2013,MC,,,,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context,57829.9983969
57,OR56,SNU01-134,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,pit,"1,2호특수/타원형수혈(-60)","60 cm from the uppermost, under modern arable land",charcoal,,-28.5,,4470,40,Bae_et_al_2013,MC,,,,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context,57829.9983969
58,OR57,SNU01-135,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,stone accumulation,53호 적석(-100),"100 cm from the uppermost, under modern arable land",charcoal,,-20.2,,4050,40,Bae_et_al_2013,,,,,,Using SO's record to correct context,57829.9983969
59,OR58,SNU01-136,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,pit,3호특수(타원형수혈?),"50 cm from the uppermost, under modern arable land",charcoal,,-18,,4510,80,Bae_et_al_2013,MC,,,,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context,57829.9983969
60,OR59,SNU01-137,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,house,파괴주거지(-100),"100 cm from the uppermost, under modern arable land",charcoal,,-18.72,,4650,30,Bae_et_al_2013,MC,,,,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context,57829.9983969
61,OR60,SNU01-138,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,house,2호주거지(-50),50 cm under modern arable land,charcoal (annual),acorn,-18.54,,4700,80,Bae_et_al_2013,MC,,,,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context,57829.9983969
62,OR61,SNU01-139,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,pit,1호특수/타원형수혈(-60),30 cm,charcoal,,-21.5,,4200,100,Bae_et_al_2013,LC,봉계리식토기,,,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context,57829.9983969
63,OR62,SNU01-140,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,pit,3호특수/타원형수혈(-90),90 cm,charcoal,,-28.9,,4460,90,Bae_et_al_2013,MC,,,,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context,57829.9983969
64,OR63,SNU01-141,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,house,2호주거지(-50),30 cm,charcoal,,-18.54,,4540,80,Bae_et_al_2013,,,,,,Using SO's record to correct context,57829.9983969
65,OR64,SNU01-142,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,stone accumlation,9호적석(-30),30 cm,soil,,-25.6,,3840,40,Bae_et_al_2013,FC,말기 율리식(이중구연)토기,,,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context,57829.9983969
66,OR65,SNU01-143,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,stone accumlation,4호적석(-30),30 cm,soil,,-26.7,,3650,40,Bae_et_al_2013,FC,말기 율리식(이중구연)토기,,,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context,57829.9983969
80,OR66,SNU00-86-1,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,부산,부산,,strat,"Ⅳ2층(1969, 1차조사)",,bone,,-17,,3800,60,Jul 2020 (Kim),,,,,"동삼동패총 III 제 3차 발굴 보고서, 국립중앙박물관 2004",,74.4650291694999
81,OR67,SNU00-87,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,부산,부산,,strat,"Ⅳ3층(1969, 1차조사)",,bone,,-26,,4360,40,Jul 2020 (Kim),MC,,,,"동삼동패총 III 제 3차 발굴 보고서, 국립중앙박물관 2004",,74.4650291694999
82,OR68,SNU00-89,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,부산,부산,,strat,"FⅤ2층(1969, 1차조사)",,bone,,-26,,4650,50,Jul 2020 (Kim),IC_or_EC,,FM I,"Obata (2013) reports FM impression on Early Neolithic pottery (영선동식) from Layer V. Layer V hows mostly Middle Neolithic pottery (수가리식),  but alsoly  EarNeolithic pottery  (영선동식)o. were detected too, So it is not clear whether these dates from Layer V actu","동삼동패총 III 제 3차 발굴 보고서, 국립중앙박물관 2004",,74.4650291694999
83,OR69,SNU00-90,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,부산,부산,,strat,"FⅤ3층(1969, 1차조사)",,bone,,-25,,5800,70,Jul 2020 (Kim),IC_or_EC,,FM I,"Obata (2013) reports FM impression on Early Neolithic pottery (영선동식) from Layer V. Layer V hows mostly Middle Neolithic pottery (수가리식),  but alsoly  EarNeolithic pottery  (영선동식)o. were detected too, So it is not clear whether these dates from Layer V actu","동삼동패총 III 제 3차 발굴 보고서, 국립중앙박물관 2004",,74.4650291694999
84,OR70,SNU00-91,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,부산,부산,,strat,"FⅤ4층(1969, 1차조사)",,bone,,-18,,5580,70,Jul 2020 (Kim),IC_or_EC,,FM I,"Obata (2013) reports FM impression on Early Neolithic pottery (영선동식) from Layer V. Layer V hows mostly Middle Neolithic pottery (수가리식),  but alsoly  EarNeolithic pottery  (영선동식)o. were detected too, So it is not clear whether these dates from Layer V actu","동삼동패총 III 제 3차 발굴 보고서, 국립중앙박물관 2004",,74.4650291694999
85,OR71,SNU00-92,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,부산,부산,,strat,"DXⅪ3층(1970, 2차조사)",,bone,,-18,,6400,50,Jul 2020 (Kim),IC,,,,"동삼동패총 III 제 3차 발굴 보고서, 국립중앙박물관 2004",,74.4650291694999
86,OR72,SNU00-93,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,부산,부산,,strat,"HXⅢ2층(1971, 3차조사)",,bone,,-22,,4200,40,Jul 2020 (Kim),MC,,,,"동삼동패총 III 제 3차 발굴 보고서, 국립중앙박물관 2004",,74.4650291694999
87,OR73,SNU01-144,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,house,정화지역 1호주거지,정화구역(부산박)5층,charcoal,,-26.6,,4360,60,Bae_et_al_2013,MC,수가리1식토기관련유적,FM BM G,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data",74.4650291694999
88,OR74,SNU01-145-1,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,부산,부산,,house,정화지역 1호주거지,,bone,,-15.8,,4680,60,Bae_et_al_2013,MC,,FM BM G,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data",74.4650291694999
89,OR75,SNU01-146,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,부산,부산,,house,정화지역 2호주거지,,bone,,-12.5,,4300,40,Bae_et_al_2013,MC,,,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data",74.4650291694999
90,OR76,SNU01-147-1,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,부산,부산,,house,정화지역 3호주거지,,bone,,-8.37,,5640,90,Bae_et_al_2013,EC,,,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data",74.4650291694999
91,OR77,SNU01-148,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,부산,부산,,house,정화지역 3호주거지,,bone,,-12.9,,5540,40,Bae_et_al_2013,EC,,,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data",74.4650291694999
92,OR78,SNU01-149-1,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,부산,부산,,strat,2층- 이중구연토기 위주,,bone,,-5.42,,4360,50,Bae_et_al_2013,FC,,,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data",74.4650291694999
93,OR79,SNU01-150,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,strat,2층- 이중구연토기 위주,,charcoal,,-22.6,,3910,40,Bae_et_al_2013,FC,,,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data",74.4650291694999
94,OR80,SNU01-151,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,부산,부산,,strat,"3층(재퇴적층) 융기문, 태선침선문의 수가리 I, II식, 봉계리 혼재but 수가리II 식단계로 추정",,bone,,-11.5,,4120,40,Bae_et_al_2013,LC,수가리2식 토기,,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data",74.4650291694999
95,OR81,SNU01-152,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,부산,부산,,strat,"4층(재퇴적층) 후기즐문, 조기-중기 여러 유물 혼재",,bone,,-22.5,,4550,50,Bae_et_al_2013,LC,,,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data",74.4650291694999
96,OR82,SNU01-153,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,부산,부산,,strat,"5-1층 수가리I식 위주나 하층에서 이동한 융기문, 영선동식(Early Neo type)도 출토",,bone,,-21,,4470,50,Bae_et_al_2013,MC,,FM I,"Obata (2013) reports FM impression on Early Neolithic pottery (영선동식) from Layer V. Layer V hows mostly Middle Neolithic pottery (수가리식),  but alsoly  EarNeolithic pottery  (영선동식)o. were detected too, So it is not clear whether these dates from Layer V actu",부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data",74.4650291694999
97,OR83,SNU01-154,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,부산,부산,,strat,5-2층: 1호주거지 폐기후 내부에 퇴적된 층,,bone,,-16.4,,5180,60,Bae_et_al_2013,MC,,FM I,"Obata (2013) reports FM impression on Early Neolithic pottery (영선동식) from Layer V. Layer V hows mostly Middle Neolithic pottery (수가리식),  but alsoly  EarNeolithic pottery  (영선동식)o. were detected too, So it is not clear whether these dates from Layer V actu",부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data",74.4650291694999
98,OR84,SNU01-155,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,부산,부산,,strat,"5-3층: 1호주거지 폐기후 형성된 층으로 주로 주거지 내부에만 확인, 수가리I시 위주",,bone,,-19.9,,4380,50,Bae_et_al_2013,MC,,FM I,"Obata (2013) reports FM impression on Early Neolithic pottery (영선동식) from Layer V. Layer V hows mostly Middle Neolithic pottery (수가리식),  but alsoly  EarNeolithic pottery  (영선동식)o. were detected too, So it is not clear whether these dates from Layer V actu",부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data",74.4650291694999
99,OR85,SNU01-156-1,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,부산,부산,,strat,5-4층: 수가리I식 위주로 5-3층과 동일층으로 봐도 무관,,bone,,-18.59,,4430,50,Bae_et_al_2013,MC,,FM I,"Obata (2013) reports FM impression on Early Neolithic pottery (영선동식) from Layer V. Layer V hows mostly Middle Neolithic pottery (수가리식),  but alsoly  EarNeolithic pottery  (영선동식)o. were detected too, So it is not clear whether these dates from Layer V actu",부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data",74.4650291694999
100,OR86,SNU01-157-1,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,부산,부산,,strat,5C층:4호 수혈내에 퇴적된 순패층. 중기의 수가리I식의늦은단계 토기대량,,bone,,-13.06,,4600,50,Bae_et_al_2013,MC,,FM I,"Obata (2013) reports FM impression on Early Neolithic pottery (영선동식) from Layer V. Layer V hows mostly Middle Neolithic pottery (수가리식),  but alsoly  EarNeolithic pottery  (영선동식)o. were detected too, So it is not clear whether these dates from Layer V actu",부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data",74.4650291694999
101,OR87,SNU01-158,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,부산,부산,,strat,"7층(순패층) 융기문 일부와 지두문, 무문양 호형,",,bone,,-14.7,,5650,70,Bae_et_al_2013,EC,,,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data",74.4650291694999
102,OR88,SNU01-159,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,부산,부산,,strat,"7층(순패층) 융기문 일부와 지두문, 무문양 호형,",,bone,,-20,,5180,70,Bae_et_al_2013,EC,,,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data",74.4650291694999
103,OR89,SNU01-160,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,부산,부산,,strat,8층(흑색부식토층) 융기문 지료로 한 단순문화층,,bone,,-13.8,,6740,40,Bae_et_al_2013,IC,,,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data",74.4650291694999
