Entry,Labcode,Labcode_cmt,Labcode_cmt2,Site name,Site name_cmt,Probable correct site name,Site name in English,Corrected_name,location accuracy score (1=best),location_cmt,Lat,Long,location_recorder,per,Abb_Name,Prov,City,Sample name,Context,Context2,Context_cmt,Material,Materail_cmt,13C(0/00),13C(0/00)_range,uncal_bp,uncal_range,collected_season,SUBPHASE,SUBPHASE_cmt,seed_association,seed_cmt,coast_manual,Reference,Remark
53,SNU01-027,,,진그늘,,,Jingueneul,,1,정천면 모정리 1852,35.886225,127.472179,HL,,,전북,진안,,acorn accumulation,도토리집중구역,,charcoal (annual),acorn,,,4500,300,Apr_2017 (So),MC,수가리1식토기 관련유적,,,,조선대박물관 2005:217-221; 진안 진그늘 선사유적,
54,SNU01-131,,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,stone accumulation,1호적석(-30),30 cm under modern arable land,charcoal,,-22.8,,3760,80,Jul 2020 (Kim),FC,말기 율리식(이중구연)토기,,,,갈머리유적 호남문화재연구원 2003. 갈머리유적,
55,SNU01-132,,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,house,1호주거지(-30),30 cm under modern arable land,charcoal,,-22.73,,4510,40,Jul 2020 (Kim),MC,,,,,갈머리유적 호남문화재연구원 2003. 갈머리유적,
56,SNU01-133,,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,house,1호주거지(-30),30 cm under modern arable land,charcoal,,-24.02,,4560,40,Jul 2020 (Kim),MC,,,,,갈머리유적 호남문화재연구원 2003. 갈머리유적,
57,SNU01-134,,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,pit,"1,2호특수/타원형수혈(-60)","60 cm from the uppermost, under modern arable land",charcoal,,-28.5,,4470,40,Jul 2020 (Kim),MC,,,,,갈머리유적 호남문화재연구원 2003. 갈머리유적,
58,SNU01-135,,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,stone accumulation,53호 적석(-100),"100 cm from the uppermost, under modern arable land",charcoal,,-20.2,,4050,40,Jul 2020 (Kim),,,,,,갈머리유적 호남문화재연구원 2003. 갈머리유적,
59,SNU01-136,,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,pit,3호특수(타원형수혈?),"50 cm from the uppermost, under modern arable land",charcoal,,-18,,4510,80,Jul 2020 (Kim),MC,,,,,갈머리유적 호남문화재연구원 2003. 갈머리유적,
60,SNU01-137,,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,house,파괴주거지(-100),"100 cm from the uppermost, under modern arable land",charcoal,,-18.72,,4650,30,Jul 2020 (Kim),MC,,,,,갈머리유적 호남문화재연구원 2003. 갈머리유적,
61,SNU01-138,,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,house,2호주거지(-50),50 cm under modern arable land,charcoal (annual),acorn,-18.54,,4700,80,Jul 2020 (Kim),MC,,,,,갈머리유적 호남문화재연구원 2003. 갈머리유적,
62,SNU01-139,,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,pit,1호특수/타원형수혈(-60),30 cm,charcoal,,-21.5,,4200,100,Jul 2020 (Kim),LC,봉계리식토기,,,,갈머리유적 호남문화재연구원 2003. 갈머리유적,
63,SNU01-140,,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,pit,3호특수/타원형수혈(-90),90 cm,charcoal,,-28.9,,4460,90,Jul 2020 (Kim),MC,,,,,갈머리유적 호남문화재연구원 2003. 갈머리유적,
64,SNU01-141,,,갈머리,,,Galmeori,,1,수몰지역,35.878166,127.470977,HK,,,전북,진안,,house,2호주거지(-30),30 cm,charcoal,,-24.8,,4540,80,Jul 2020 (Kim),,,,,,갈머리유적 호남문화재연구원 2003. 갈머리유적,
87,SNU01-144,,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,house,정화지역 1호주거지,정화구역(부산박)5층,charcoal,,-26.6,,4360,60,Apr_2017 (So),MC,수가리1식토기관련유적,FM BM G,,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,
93,SNU01-150,,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,strat,2층- 이중구연토기 위주,,charcoal,,-22.6,,3910,40,Apr_2017 (So),FC,,,,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,
106,SNU01-163,,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,strat,9층(혼패층) 8층과 유사 융기문토기 문화층,,charcoal,,-24.5,,5910,50,Apr_2017 (So),IC,,,,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,
116,SNU01-182,,,진그늘,,,jingueneul,,1,정천면 모정리 1852,35.886225,127.472179,HL,,,전북,진안,,stone accumulation,1호 적석유구,,charcoal,,,,4040,100,Apr_2017 (So),MC,,,,,조선대박물관 2005:217-221 진안 진그늘 선사유적,
117,SNU01-183,,,진그늘,,,jingueneul,,1,정천면 모정리 1852,35.886225,127.472179,HL,,,전북,진안,,ditch,ㄷ꼴 유구,,charcoal,,,,4500,120,Apr_2017 (So),MC,,,,,조선대박물관 2005:217-221 진안 진그늘 선사유적,
119,SNU02-455,,보고서에는 Labcode 없음. Labcode cited from Bae et al. 2013,남북동,,,Nambukdong,,1,,37.46085,126.410825,HK,,,경기,인천,,hearth,3호 노지,IV층 적석아래 중심소토,charcoal,,,,3500,40,Jul 2020 (Kim),LC,절대연대는 이르게 나왔으나 어골문 토기문양상 는들유적보다 시기가 늦을 가능성이 크며 대체로 기원전 3000기 중반으로 보왔음,,,,용유도 남북동 을왕동 I 유적 서울대학교박물관 2006,
120,SNU02-456,,보고서에는 Labcode 없음. Labcode cited from Bae et al. 2013,남북동,,,Nambukdong,,1,,37.46085,126.410825,HK,,,경기,인천,,hearth,9호 노지,IV층 적석 아래 소토 (위층에서 15cm 아래),charcoal,,,,3840,40,Jul 2020 (Kim),LC,절대연대는 이르게 나왔으나 어골문 토기문양상 는들유적보다 시기가 늦을 가능성이 크며 대체로 기원전 3000기 중반으로 보왔음,,,,용유도 남북동 을왕동 I 유적 서울대학교박물관 2006,
121,SNU02-457,,보고서에는 Labcode 없음. Labcode cited from Bae et al. 2013,남북동,,,Nambukdong,,1,,37.46085,126.410825,HK,,,경기,인천,,hearth,32-1호 노지 (32호 확장부분),IV층 적석 아래 소토,charcoal,,,,4440,50,Jul 2020 (Kim),LC,절대연대는 이르게 나왔으나 어골문 토기문양상 는들유적보다 시기가 늦을 가능성이 크며 대체로 기원전 3000기 중반으로 보왔음,,,,용유도 남북동 을왕동 I 유적 서울대학교박물관 2006,
122,SNU02-458,,보고서에는 Labcode 없음. Labcode cited from Bae et al. 2013,남북동,,,Nambukdong,,1,,37.46085,126.410825,HK,,,경기,인천,,hearth,32호 노지,IV층 적석 아래 소토,charcoal,,,,4450,50,Jul 2020 (Kim),LC,절대연대는 이르게 나왔으나 어골문 토기문양상 는들유적보다 시기가 늦을 가능성이 크며 대체로 기원전 3000기 중반으로 보왔음,,,,용유도 남북동 을왕동 I 유적 서울대학교박물관 2006,
123,SNU02-459,,보고서에는 Labcode 없음. Labcode cited from Bae et al. 2013,남북동,,,Nambukdong,,1,,37.46085,126.410825,HK,,,경기,인천,,hearth,50호 노지,IV층 적석 아래 소토,charcoal,,,,4650,40,Jul 2020 (Kim),LC,절대연대는 이르게 나왔으나 어골문 토기문양상 는들유적보다 시기가 늦을 가능성이 크며 대체로 기원전 3000기 중반으로 보왔음,,,,용유도 남북동 을왕동 I 유적 서울대학교박물관 2006,
124,SNU02-460,,보고서에는 Labcode 없음. Labcode cited from Bae et al. 2013,남북동,,,Nambukdong,,1,,37.46085,126.410825,HK,,,경기,인천,,hearth,50호 연접 소규모 노지,IV층 적석 아래 소토,charcoal,,,,4700,60,Jul 2020 (Kim),LC,절대연대는 이르게 나왔으나 어골문 토기문양상 는들유적보다 시기가 늦을 가능성이 크며 대체로 기원전 3000기 중반으로 보왔음,,,,용유도 남북동 을왕동 I 유적 서울대학교박물관 2006,
125,SNU02-461,,보고서에는 Labcode 없음. Labcode cited from Bae et al. 2013,남북동,,,Nambukdong,,1,,37.46085,126.410825,HK,,,경기,인천,,hearth,52호 노지,IV층 적석 아래 소토,charcoal,,,,4620,60,Jul 2020 (Kim),LC,절대연대는 이르게 나왔으나 어골문 토기문양상 는들유적보다 시기가 늦을 가능성이 크며 대체로 기원전 3000기 중반으로 보왔음,,,,용유도 남북동 을왕동 I 유적 서울대학교박물관 2006,
127,SNU02-462,,,용유도 을왕동,,,Yongyudo Eulwangdong,,1,"해안선 변화로 정확한 위치는 불명하나, 좌표의 위치라 사료됨",37.46216,126.393779,HK,,,경기,인천,,hearth,I 지구 5호 노지,,charcoal,,-28,,3810,40,Jul 2020 (Kim),LC_or_FC,"Latest in central west; 반관통의 공열문을 시문한 빗살문 토기; 오이도 가운데살막B패총, 삼목도I애서도 확인",,,,용유도 남북동 을왕동 I 유적 서울대학교박물관 2006,
128,SNU02-463,,,용유도 을왕동,,,Yongyudo Eulwangdong,,1,"해안선 변화로 정확한 위치는 불명하나, 좌표의 위치라 사료됨",37.46216,126.393779,HK,,,경기,인천,,strat,NS-II 트랜치 2번 패각더미,,shell,oyster,0.3,,4010,60,Jul 2020 (Kim),LC_or_FC,"Latest in central west; 반관통의 공열문을 시문한 빗살문 토기; 오이도 가운데살막B패총, 삼목도I애서도 확인",,,,용유도 남북동 을왕동 I 유적 서울대학교박물관 2006,
129,SNU02-464,,,용유도 을왕동,,,Yongyudo Eulwangdong,,1,"해안선 변화로 정확한 위치는 불명하나, 좌표의 위치라 사료됨",37.46216,126.393779,HK,,,경기,인천,,strat,NS-IV 트랜치 8번 패각더미,,shell,oyster,-0.2,,4080,60,Jul 2020 (Kim),LC_or_FC,"Latest in central west; 반관통의 공열문을 시문한 빗살문 토기; 오이도 가운데살막B패총, 삼목도I애서도 확인",,,,용유도 남북동 을왕동 I 유적 서울대학교박물관 2006,
131,SNU02-477,,,동호동,,,Donghodong,,1,"대구광역시 북구 동호동 477번지 유적 (영남문화재연구원, 2005) 위치를 사용하였으나, 이 유적은 청동기,삼국 유적",35.96059,128.558791,HK,,,경북,대구,,outdoor hearth,야외노지 9,,charcoal,,-26.5,,4700,40,Jul 2020 (Kim),,,,,,대구 동호동유적 영남문화재연구원 2003,신석기 유물 유구는 유적에 없지만 신석기 연대가 나옴
132,SNU01-395,,,동호동,,,Donghodong,,1,"대구광역시 북구 동호동 477번지 유적 (영남문화재연구원, 2005) 위치를 사용하였으나, 이 유적은 청동기,삼국 유적",35.96059,128.558791,HK,,,경북,대구,,pit,1호 수혈유구,,charcoal,,-24.8,,3760,40,Jul 2020 (Kim),,,,,,대구 동호동유적 영남문화재연구원 2003,신석기 유물 유구는 유적에 없지만 신석기 연대가 나옴
135,SNU02-395,대덕1,,관평동,,,Gwanpyeongdong,,1,"관평동 태크노밸리 (청동기유적)의 좌표를 사용하였으나, 정확한 신석기 유구의 위치는 추가확인필요",36.419974,127.381367,HK,,,충남,대전,,house,1지구 2호주거지,,charcoal,,,,4250,50,Jul 2020 (Kim),,,,,,관평동 유적 중앙문화재연구원 2002,
136,SNU02-396,대덕2,,관평동,,,Gwanpyeongdong,,1,"관평동 태크노밸리 (청동기유적)의 좌표를 사용하였으나, 정확한 신석기 유구의 위치는 추가확인필요",36.419974,127.381367,HK,,,충남,대전,,house,1지구 2호주거지,,charcoal,,,,4410,80,Jul 2020 (Kim),,,,,,관평동 유적 중앙문화재연구원 2002,
137,SNU02-397,대덕3,,관평동,,,Gwanpyeongdong,,1,"관평동 태크노밸리 (청동기유적)의 좌표를 사용하였으나, 정확한 신석기 유구의 위치는 추가확인필요",36.419974,127.381367,HK,,,충남,대전,,house,1지구 2호주거지,,charcoal,,,,4370,60,Jul 2020 (Kim),,,,,,관평동 유적 중앙문화재연구원 2002,
139,SNU02-713,,,장흥 신풍,,,Jangheung Shinpung,,1,,34.800592,126.843544,HK,,,,,,stonecist burial,지석묘 묘실내부,,charcoal,,-35,,4680,70,Jul 2020 (Kim),,,,,,신풍I 호남문화재연구원 2005,is not a neolithic feature
144,SNU03-296,,,밀양 살내,,,Salnae,,1,,35.49571,128.784416,HK,,,경남,밀양,,pit,13호수혈(야외노지),,charcoal,,-27.5,,4960,40,Apr_2017 (So),EC,,,,,경남발전연구원 2005:355-346.,
146,SNU03-633,,,오이도 유적 (추가단지내),,,Oido,,1,"오이도 뒷살막 패총 (2002, 서울대학교박물관) 지도 참조",37.347473,126.694168,HK,,,경기,시흥,,outdoor hearth,A지구 2호노지,,charcoal,,,,4880,60,Apr_2017 (So),,,,,,"서울대학교박물관, 2013, 『시흥 오이도 유적』.","직접 서울대학교박물관, 2013, 『시흥 오이도 유적』 에 해당연대가 있는지 확인은 못했지만 (So's data doesn't say reference either) 이곳에 있을 확률이 큼 (So nevertheless writes this site report in the list of references)."
147,SNU03-634,,,오이도 유적 (추가단지내),,,Oido,,1,"오이도 뒷살막 패총 (2002, 서울대학교박물관) 지도 참조",37.347473,126.694168,HK,,,경기,시흥,,outdoor hearth,A지구 24호 노지,,charcoal,,,,5140,80,Apr_2017 (So),,,,,,"서울대학교박물관, 2013, 『시흥 오이도 유적』.","직접 서울대학교박물관, 2013, 『시흥 오이도 유적』 에 해당연대가 있는지 확인은 못했지만 (So's data doesn't say reference either) 이곳에 있을 확률이 큼 (So nevertheless writes this site report in the list of references)."
148,SNU03-635,,,오이도 유적 (추가단지내),,,Oido,,1,"오이도 뒷살막 패총 (2002, 서울대학교박물관) 지도 참조",37.347473,126.694168,HK,,,경기,시흥,,outdoor hearth,A지구 27호 노지,,charcoal,,,,4690,60,Apr_2017 (So),,,,,,"서울대학교박물관, 2013, 『시흥 오이도 유적』.","직접 서울대학교박물관, 2013, 『시흥 오이도 유적』 에 해당연대가 있는지 확인은 못했지만 (So's data doesn't say reference either) 이곳에 있을 확률이 큼 (So nevertheless writes this site report in the list of references)."
149,SNU03-636,,,오이도 유적 (추가단지내),,,Oido,,1,"오이도 뒷살막 패총 (2002, 서울대학교박물관) 지도 참조",37.347473,126.694168,HK,,,경기,시흥,,outdoor hearth,A지구 29호 노지,,charcoal,,,,4700,60,Apr_2017 (So),,,,,,"서울대학교박물관, 2013, 『시흥 오이도 유적』.","직접 서울대학교박물관, 2013, 『시흥 오이도 유적』 에 해당연대가 있는지 확인은 못했지만 (So's data doesn't say reference either) 이곳에 있을 확률이 큼 (So nevertheless writes this site report in the list of references)."
150,SNU03-637,,,오이도 유적 (추가단지내),,,Oido,,1,"오이도 뒷살막 패총 (2002, 서울대학교박물관) 지도 참조",37.347473,126.694168,HK,,,경기,시흥,,outdoor hearth,A지구 30호 노지,,charcoal,,,,4710,50,Apr_2017 (So),,,,,,"서울대학교박물관, 2013, 『시흥 오이도 유적』.","직접 서울대학교박물관, 2013, 『시흥 오이도 유적』 에 해당연대가 있는지 확인은 못했지만 (So's data doesn't say reference either) 이곳에 있을 확률이 큼 (So nevertheless writes this site report in the list of references)."
151,SNU03-899,,,내흥동,,,Naeheungdong,,1,신석기문화층이 발견된 2지점 위치사용,36.001764,126.760241,HK,,,전북,군산,,pit,원형수혈유구,,charcoal,,-33.3,,3880,60,Jul 2020 (Kim),,,,,,충청문화재연구원 2006(Ⅱ):109-115.,
166,SNU05-A017,,,까치산 패총,,,Kkachisan,,1,,37.66406,125.708612,HK,,,경기,인천,,strat,B3pit 서벽 X-2층,,shell,oyster,0.78,,5020,40,Jul 2020 (Kim),,,,,T,까치산 패총 국립문화재연구소 2005,should be coastal site
167,SNU05-A018,,,까치산 패총,,,Kkachisan,,1,,37.66406,125.708612,HK,,,경기,인천,,strat,B3pit 서벽 IX-6층,,shell,oyster,0.97,,5250,70,Jul 2020 (Kim),,,,,T,까치산 패총 국립문화재연구소 2005,should be coastal site
168,SNU05-A019,,,까치산 패총,,,Kkachisan,,1,,37.66406,125.708612,HK,,,경기,인천,,strat,B3pit 서벽 IX-5층,,shell,oyster,1.77,,5370,70,Jul 2020 (Kim),,,,,T,까치산 패총 국립문화재연구소 2005,should be coastal site
169,SNU05-A020,,,까치산 패총,,,Kkachisan,,1,,37.66406,125.708612,HK,,,경기,인천,,strat,B3pit 서벽 VII-1층,,shell,oyster,-4.23,,5060,110,Jul 2020 (Kim),,,,,T,까치산 패총 국립문화재연구소 2005,should be coastal site
170,SNU05-A021,,,까치산 패총,,,Kkachisan,,1,,37.66406,125.708612,HK,,,경기,인천,,strat,D3pit D4pit 둑 V-15층,,shell,oyster,-10.96,,5090,50,Jul 2020 (Kim),,,,,T,까치산 패총 국립문화재연구소 2005,should be coastal site
171,SNU03-255,,,삼목도,,,Sammokdo,,1,,37.48943,126.475788,HK,,,경기,인천,SM01-1,house,1호주거지,내부퇴적토,charcoal,,,,4700,40,Apr_2017 (So),MC,삼목도의 동일문계토기는 기존에 알려진 개체보다 연대가 이르며 구분문계 토기와 함께 사용; 갈돌형태는 양단 돌출형이 아니라 봉상형으로 수기단계보다 이른시기의 양상,,,,서울대학교 박물관 2009,Labcode is taken from Bae et al. 2013
172,SNU03-256,,,삼목도,,,Sammokdo,,1,,37.48943,126.475788,HK,,,경기,인천,SM01-2,house,1호주거지,바닥,charcoal,,,,4780,40,Apr_2017 (So),MC,,,,,서울대학교 박물관 2009,Labcode is taken from Bae et al. 2013
173,SNU03-257,,,삼목도,,,Sammokdo,,1,,37.48943,126.475788,HK,,,경기,인천,SM02-1,house,2호주거지,노지,charcoal,,,,4670,80,Apr_2017 (So),MC,,,,,서울대학교 박물관 2009,Labcode is taken from Bae et al. 2013
174,SNU03-258,,,삼목도,,,Sammokdo,,1,,37.48943,126.475788,HK,,,경기,인천,SM02-2,house,2호주거지,내부퇴적토,charcoal,,,,4800,80,Apr_2017 (So),MC,,,,,서울대학교 박물관 2009,Labcode is taken from Bae et al. 2013
175,SNU03-259,,,삼목도,,,Sammokdo,,1,,37.48943,126.475788,HK,,,경기,인천,SM03-1,house,3호주거지,내부퇴적토,charcoal,,,,4610,40,Apr_2017 (So),MC,,,,,서울대학교 박물관 2009,Labcode is taken from Bae et al. 2013
176,SNU03-260,,,삼목도,,,Sammokdo,,1,,37.48943,126.475788,HK,,,경기,인천,SM04-1,house,4호주거지,내부퇴적토,charcoal,,,,4340,50,Apr_2017 (So),MC,,,,,서울대학교 박물관 2009,Labcode is taken from Bae et al. 2013
177,SNU03-261,,,삼목도,,,Sammokdo,,1,,37.48943,126.475788,HK,,,경기,인천,SM04-2,house,4호주거지,바닥,charcoal,,,,4310,80,Apr_2017 (So),MC,,,,,서울대학교 박물관 2009,Labcode is taken from Bae et al. 2013
178,SNU03-262,,,삼목도,,,Sammokdo,,1,,37.48943,126.475788,HK,,,경기,인천,SM05-1,house,5호주거지,상층,charcoal,,,,4540,50,Apr_2017 (So),MC,,,,,서울대학교 박물관 2009,Labcode is taken from Bae et al. 2013
179,SNU03-263,,,삼목도,,,Sammokdo,,1,,37.48943,126.475788,HK,,,경기,인천,SM05-2,house,5호주거지,바닥,charcoal,,,,4510,50,Apr_2017 (So),MC,,,,,서울대학교 박물관 2009,Labcode is taken from Bae et al. 2013
180,SNU03-264,,,삼목도,,,Sammokdo,,1,,37.48943,126.475788,HK,,,경기,인천,SM08-1,house,8호주거지,내부퇴적토,charcoal,,,,4480,60,Apr_2017 (So),MC,사선대문 토기,,,,서울대학교 박물관 2009,Labcode is taken from Bae et al. 2013
181,SNU05-741,,,삼목도,,,Sammokdo,,1,,37.48943,126.475788,HK,,,경기,인천,삼목도 11,house,11호 주거지 3층,,charcoal,,-33.12,,4530,50,Apr_2017 (So),MC,중서부 전기와 후기의 중간적 양상; 따라서 중기를 대표하는 유적,,,,"인천 삼목도 III 유적 학술발굴조사 보고서, 서울대학교박물관 2007",
182,SNU05-742,,,삼목도,,,Sammokdo,,1,,37.48943,126.475788,HK,,,경기,인천,삼목도 1-1,stone accumulation,1호 집석유구,,charcoal,,-15.98,,3830,50,Apr_2017 (So),MC,중서부 전기와 후기의 중간적 양상; 따라서 중기를 대표하는 유적,,,,"인천 삼목도 III 유적 학술발굴조사 보고서, 서울대학교박물관 2007",
183,SNU05-743,,,삼목도,,,Sammokdo,,1,,37.48943,126.475788,HK,,,경기,인천,삼목도 1-2,stone accumulation,1호 집석유구,,charcoal,,-30.98,,3840,50,Apr_2017 (So),MC,중서부 전기와 후기의 중간적 양상; 따라서 중기를 대표하는 유적,,,,"인천 삼목도 III 유적 학술발굴조사 보고서, 서울대학교박물관 2007",
