Entry,OR_num,Labcode,Labcode_cmt,Site name,Site name_cmt,Probable correct site name,Site name in English,Corrected_name,location accuracy score (1=best),location_cmt,Lat,Long,location_recorder,per,Abb_Name,Prov,City,Sample name,Context name,Context,Context_cmt,Material,Materail_cmt,13C(0/00),13C(0/00)_range,uncal_bp,uncal_range,collected_season,SUBPHASE,SUBPHASE_cmt,Reference,Remark
12,OR12,SNU00-137,,는들,,,Nendul,,1,,37.48574,126.49186,HK,,,경기,인천,,,wall of dwelling,,charcoal,,,,4500,60,Bae_et_al_2013,,,,4270±60 according to SO's collection
13,OR13,SNU00-138,,는들,,,Nendul,,1,,37.48574,126.49186,HK,,,경기,인천,,,pillar hole of dwelling,,charcoal,,,,4560,40,Bae_et_al_2013,,,,4790±80 according to SO's collection
14,OR14,SNU00-139,,는들,,,Nendul,,1,,37.48574,126.49186,HK,,,경기,인천,,,wall of dwelling,,Charcoal,,,,4480,30,Bae_et_al_2013,,,,4480±30 according to SO's collection
21,OR20,SNU00-385,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,,"B2PitⅢ-3a층(DK8, 융대문)",,pottery incrustation,,-21.5,,6480,120,Bae_et_al_2013,IC,,김종찬외2002 : 202,
22,OR21,SNU00-386,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,,"B4PitⅢ-2b층(DK9, 융대문)",,pottery incrustation,,-29,,6260,250,Bae_et_al_2013,IC,,김종찬외2002 : 202,
23,OR22,SNU00-387,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,,"A8~9PitⅢ-6층(DK12, 무문양)",,pottery incrustation,,-23.5,,6260,40,Bae_et_al_2013,IC,,김종찬외2002 : 202,
24,OR23,SNU00-388,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,,"A8~9PitⅢ-6층(DK12, 무문양)",,pottery incrustation,,-25.8,,6330,40,Bae_et_al_2013,IC,,김종찬외2002 : 202,
25,OR24,SNU00-390,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,,C1PitⅢ-3a층(DK14),,pottery incrustation,,-27.5,,5930,110,Bae_et_al_2013,IC,,김종찬외2002 : 202,
26,OR25,SNU00-393,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,,"B2PitⅢ-1층(DK1, 융선문)",,pottery incrustation,,-23.2,,6280,40,Bae_et_al_2013,IC,,김종찬외2002 : 202,
27,OR26,SNU00-394,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,,"B2PitⅢ-1층(DK2, 융선문+융기문)",,pottery incrustation,,-21.5,,6260,40,Bae_et_al_2013,IC,,김종찬외2002 : 202,
28,OR27,SNU00-395,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,,"A2~3PitⅢ-2b층(DK3, 구순각목)",,pottery incrustation,,-22.8,,6110,80,Bae_et_al_2013,IC,,김종찬외2002 : 202,
29,OR28,SNU00-397,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,,"B2PitⅢ-3c층 (DK5, 침상자돌문)",,pottery incrustation,,-16.2,,6420,110,Bae_et_al_2013,IC,,김종찬외2002 : 202,
30,OR29,SNU00-398,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,,"B2PitⅢ-3c층 (DK5, 침상자돌문)",,pottery incrustation,,-24.6,,5700,60,Bae_et_al_2013,IC,,김종찬외2002 : 202,
31,OR30,SNU00-403,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,,"B3PitⅢ-2b하층 (DK11, 융대문)",,charcoal,,-23.2,,6740,30,Bae_et_al_2013,IC,,김종찬외2002 : 202,
32,OR31,SNU00-403-1,,황성동 세죽 패총,,,Sejuk-Hwaseongdong,,2,황정동 620번지 확인불가,35.45971,129.357806,HK,,,경남,울산,,,"B3PitⅢ-2b하층 (DK11, 융대문)",,charcoal,,-23.2,,6440,90,Bae_et_al_2013,IC,,김종찬외2002 : 202,
33,OR32,SNU00-45,,상촌리,,,Sangchonri-Daepyeong,,1,,35.21863,127.969302,HK,,,경남,진주,,,,,,,,,4470,40,Bae_et_al_2013,,,,
34,OR33,SNU00-48,,상촌리,,,Sangchonri-Daepyeong,,1,,35.21863,127.969302,HK,,,경남,진주,,,61호수혈,,charcoal,,-19.8,,4290,30,Bae_et_al_2013,,,동의대박물관 2002:161-162,
35,OR34,SNU00-94,,상촌리,,,Sangchonri-Daepyeong,,1,,35.21863,127.969302,HK,,,경남,진주,,,,,,,,,4600,100,Bae_et_al_2013,,,,
36,OR35,SNU01-303,,상촌리,,,Sangchonri-Daepyeong,,1,,35.21863,127.969302,HK,,,경남,진주,,,Storage pit 5-1,,carbonized acorn,,-19.34,,4150,60,Bae_et_al_2013,LC,봉계리식토기,이동주 2011:215,So says material is charcoal
37,OR36,SNU01-376,,상촌리,,,Sangchonri-Daepyeong,,1,,35.21863,127.969302,HK,,,경남,진주,,,22호주거지,,carbonized walnut,,-35.7,,4030,40,Bae_et_al_2013,LC,봉계리식토기,"이동주 2011:215, 동아대학교박물관 2001",So says material is charcoal
38,OR37,SNU01-377,,상촌리,,,Sangchonri-Daepyeong,,1,,35.21863,127.969302,HK,,,경남,진주,,,,,carbonized acorn,,-26.1,,4150,30,Bae_et_al_2013,LC,,,
44,OR43,SNU00-244,,노래섬 패총,,,Noraeseom,,2,수몰지역,35.96494,126.555785,HK,,,전북,군산,,,"A midden, 'ma' site",,shell,,,,4380,40,Bae_et_al_2013,,,원광대박물관 2002(Ⅰ):369-371,
45,OR44,SNU00-245,,노래섬 패총,,,Noraeseom,,2,수몰지역,35.96494,126.555785,HK,,,전북,군산,,,"B midden, 'ma' site",,shell,,,,3980,40,Bae_et_al_2013,,,원광대박물관 2002(Ⅰ):369-371,uncal bp 3930 according to SO
46,OR45,KCP-128,,노래섬 패총,,,Noraeseom,,2,수몰지역,35.96494,126.555785,HK,,,전북,군산,,,"C2 pit , 'ka' site",,shell,,,,5180,70,Bae_et_al_2013,,,원광대박물관 2002(Ⅰ):369-371,
47,OR46,KCP-238,,노래섬 패총,,,Noraeseom,,2,수몰지역,35.96494,126.555785,HK,,,전북,군산,,,"Bulk of between B4-II with C4-I, layer III, 'ka'",,shell,,,,5046,60,Bae_et_al_2013,,,원광대박물관 2002(Ⅰ):369-371,
48,OR47,KCP-240,,노래섬 패총,,,Noraeseom,,2,수몰지역,35.96494,126.555785,HK,,,전북,군산,,,"Bulk of between C1-II with C2-I, layer III, 'ka' site",,shell,,,,4976,60,Bae_et_al_2013,,,원광대박물관 2002(Ⅰ):369-371,
49,OR48,KCP-237,,노래섬 패총,,,Noraeseom,,2,수몰지역,35.96494,126.555785,HK,,,전북,군산,,,"Bottom of C4-II, layerII, 'ka' site",,shell,,,,4541,60,Bae_et_al_2013,,,원광대박물관 2002(Ⅰ):369-371,
50,OR49,KCP-239,,노래섬 패총,,,Noraeseom,,2,수몰지역,35.96494,126.555785,HK,,,전북,군산,,,"Bulk of between C2-II with C3-I, layerIII, 'ka' site",,shell,,,,4090,58,Bae_et_al_2013,,,원광대박물관 2002(Ⅰ):369-371,
51,OR50,NUTA2-1993,,노래섬 패총,,,Noraeseom,,2,수몰지역,35.96494,126.555785,HK,,,전북,군산,,,"A midden, 'ma' site",,shell,,,,4245,25,Bae_et_al_2013,,,원광대박물관 2002(Ⅰ):369-371,
52,OR51,NUTA2-1994,,노래섬 패총,,,Noraeseom,,2,수몰지역,35.96494,126.555785,HK,,,전북,군산,,,"B midden, 'ma' site",,shell,,,,3895,25,Bae_et_al_2013,,,원광대박물관 2002(Ⅰ):369-371,
53,OR52,SNU01-027,,진그늘,,,Jingueneul,,1,정천면 모정리 1852,35.886225,127.472179,HL,,,전북,진안,,,도토리집중구역,,acorn,,,,4500,300,Bae_et_al_2013,MC,수가리1식토기 관련유적,조선대박물관 2005:217-221; 진안 진그늘 선사유적,
54,OR53,SNU01-131,,갈머리,,,Galmeori,,2,수몰지역,35.87918,127.471329,HK,,,전북,진안,,,1호적석(-30),30 cm under modern arable land,charcoal,,-22.8,,3760,80,Bae_et_al_2013,FC,말기 율리식(이중구연)토기,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context
55,OR54,SNU01-132,,갈머리,,,Galmeori,,2,수몰지역,35.87918,127.471329,HK,,,전북,진안,,,1호주거지(-30),30 cm under modern arable land,charcoal,,-22.73,,4510,40,Bae_et_al_2013,MC,,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context
56,OR55,SNU01-133,,갈머리,,,Galmeori,,2,수몰지역,35.87918,127.471329,HK,,,전북,진안,,,1호주거지(-30),30 cm under modern arable land,charcoal,,-24.02,,4560,40,Bae_et_al_2013,MC,,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context
57,OR56,SNU01-134,,갈머리,,,Galmeori,,2,수몰지역,35.87918,127.471329,HK,,,전북,진안,,,"1,2호특수/타원형수혈(-60)","60 cm from the uppermost, under modern arable land",charcoal,,-28.5,,4470,40,Bae_et_al_2013,MC,,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context
58,OR57,SNU01-135,,갈머리,,,Galmeori,,2,수몰지역,35.87918,127.471329,HK,,,전북,진안,,,53호 적석(-100),"100 cm from the uppermost, under modern arable land",charcoal,,-20.2,,4050,40,Bae_et_al_2013,,,,Using SO's record to correct context
59,OR58,SNU01-136,,갈머리,,,Galmeori,,2,수몰지역,35.87918,127.471329,HK,,,전북,진안,,,3호특수(타원형수혈?),"50 cm from the uppermost, under modern arable land",charcoal,,-18,,4510,80,Bae_et_al_2013,MC,,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context
60,OR59,SNU01-137,,갈머리,,,Galmeori,,2,수몰지역,35.87918,127.471329,HK,,,전북,진안,,,파괴주거지(-100),"100 cm from the uppermost, under modern arable land",charcoal,,-18.72,,4650,30,Bae_et_al_2013,MC,,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context
61,OR60,SNU01-138,,갈머리,,,Galmeori,,2,수몰지역,35.87918,127.471329,HK,,,전북,진안,,,2호주거지(-50),50 cm under modern arable land,acorn,,-18.54,,4700,80,Bae_et_al_2013,MC,,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context
62,OR61,SNU01-139,,갈머리,,,Galmeori,,2,수몰지역,35.87918,127.471329,HK,,,전북,진안,,,1호특수/타원형수혈(-60),30 cm,charcoal,,-21.5,,4200,100,Bae_et_al_2013,LC,봉계리식토기,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context
63,OR62,SNU01-140,,갈머리,,,Galmeori,,2,수몰지역,35.87918,127.471329,HK,,,전북,진안,,,3호특수/타원형수혈(-90),90 cm,charcoal,,-28.9,,4460,90,Bae_et_al_2013,MC,,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context
64,OR63,SNU01-141,,갈머리,,,Galmeori,,2,수몰지역,35.87918,127.471329,HK,,,전북,진안,,,2호주거지(-50),30 cm,charcoal,,-18.54,,4540,80,Bae_et_al_2013,,,,Using SO's record to correct context
65,OR64,SNU01-142,,갈머리,,,Galmeori,,2,수몰지역,35.87918,127.471329,HK,,,전북,진안,,,9호적석(-30),30 cm,soil,,-25.6,,3840,40,Bae_et_al_2013,FC,말기 율리식(이중구연)토기,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context
66,OR65,SNU01-143,,갈머리,,,Galmeori,,2,수몰지역,35.87918,127.471329,HK,,,전북,진안,,,4호적석(-30),30 cm,soil,,-26.7,,3650,40,Bae_et_al_2013,FC,말기 율리식(이중구연)토기,호남문화재연구원 2003. 갈머리유적,Using SO's record to correct context
80,OR66,SNU00-86-1,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,경남,부산,,,"Ⅳ2층(1969, 1차조사)",,bone,,-17,,3800,60,Bae_et_al_2013,,,,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
81,OR67,SNU00-87,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,경남,부산,,,"Ⅳ3층(1969, 1차조사)",,bone,,-26,,4360,40,Bae_et_al_2013,MC,,"Yoon, Im, and Oh (2004).","Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
82,OR68,SNU00-89,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,경남,부산,,,"FⅤ2층(1969, 1차조사)",,bone,,-26,,4650,50,Bae_et_al_2013,IC_or_EC,,"Yoon, Im, and Oh (2004).","Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
83,OR69,SNU00-90,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,경남,부산,,,"FⅤ3층(1969, 1차조사)",,bone,,-25,,5800,70,Bae_et_al_2013,IC_or_EC,,"Yoon, Im, and Oh (2004).","Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
84,OR70,SNU00-91,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,경남,부산,,,"FⅤ4층(1969, 1차조사)",,bone,,-18,,5580,70,Bae_et_al_2013,IC_or_EC,,"Yoon, Im, and Oh (2004).","Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
85,OR71,SNU00-92,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,경남,부산,,,"DXⅪ3층(1970, 2차조사)",,bone,,-18,,6400,50,Bae_et_al_2013,IC,,"Yoon, Im, and Oh (2004).","Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
86,OR72,SNU00-93,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,경남,부산,,,"HXⅢ2층(1971, 3차조사)",,bone,,-22,,4200,40,Bae_et_al_2013,MC,,"Yoon, Im, and Oh (2004).","Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
87,OR73,SNU01-144,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,정화지역 1호주거지,정화구역(부산박)5층,charcoal,,-26.6,,4360,60,Bae_et_al_2013,MC,수가리1식토기관련유적,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
88,OR74,SNU01-145-1,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,정화지역 1호주거지,,bone,,-15.8,,4680,60,Bae_et_al_2013,MC,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
89,OR75,SNU01-146,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,정화지역 2호주거지,,bone,,-12.5,,4300,40,Bae_et_al_2013,MC,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
90,OR76,SNU01-147-1,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,정화지역 3호주거지,,bone,,-8.37,,5640,90,Bae_et_al_2013,EC,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
91,OR77,SNU01-148,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,정화지역 3호주거지,,bone,,-12.9,,5540,40,Bae_et_al_2013,EC,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
92,OR78,SNU01-149-1,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,2층- 이중구연토기 위주,,bone,,-5.42,,4360,50,Bae_et_al_2013,FC,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
93,OR79,SNU01-150,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,2층- 이중구연토기 위주,,charcoal,,-22.6,,3910,40,Bae_et_al_2013,FC,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
94,OR80,SNU01-151,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,"3층(재퇴적층) 융기문, 태선침선문의 수가리 I, II식, 봉계리 혼재but 수가리II 식단계로 추정",,bone,,-11.5,,4120,40,Bae_et_al_2013,LC,수가리2식 토기,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
95,OR81,SNU01-152,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,"4층(재퇴적층) 후기즐문, 조기-중기 여러 유물 혼재",,bone,,-22.5,,4550,50,Bae_et_al_2013,LC,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
96,OR82,SNU01-153,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,"5-1층 수가리I식 위주나 하층에서 이동한 융기문, 영선동식도 출",,bone,,-21,,4470,50,Bae_et_al_2013,MC,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
97,OR83,SNU01-154,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,5-2층: 1호주거지 폐기후 내부에 퇴적된 층,,bone,,-16.4,,5180,60,Bae_et_al_2013,MC,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
98,OR84,SNU01-155,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,"5-3층: 1호주거지 폐기후 형성된 층으로 주로 주거지 내부에만 확인, 수가리I시 위주",,bone,,-19.9,,4380,50,Bae_et_al_2013,MC,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
99,OR85,SNU01-156-1,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,5-4층: 수가리I식 위주로 5-3층과 동일층으로 봐도 무관,,bone,,-18.59,,4430,50,Bae_et_al_2013,MC,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
100,OR86,SNU01-157-1,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,5C층:4호 수혈내에 퇴적된 순패층. 중기의 수가리I식의늦은단계 토기대량,,bone,,-13.06,,4600,50,Bae_et_al_2013,MC,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
101,OR87,SNU01-158,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,"7층(순패층) 융기문 일부와 지두문, 무문양 호형,",,bone,,-14.7,,5650,70,Bae_et_al_2013,EC,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
102,OR88,SNU01-159,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,"7층(순패층) 융기문 일부와 지두문, 무문양 호형,",,bone,,-20,,5180,70,Bae_et_al_2013,EC,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
103,OR89,SNU01-160,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,8층(흑색부식토층) 융기문 지료로 한 단순문화층,,bone,,-13.8,,6740,40,Bae_et_al_2013,IC,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
104,OR90,SNU01-161,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,8층(흑색부식토층) 융기문 지료로 한 단순문화층,,bone (partially charred),,-22.2,,4400,40,Bae_et_al_2013,IC,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
105,OR91,SNU01-162,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,9층(혼패층) 8층과 유사 융기문토기 문화층,,bone,,-14.3,,6910,60,Bae_et_al_2013,IC,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
106,OR92,SNU01-163,,동삼동 정화지역,,,Dongsamdong,,1,"동삼동 750-5, 750-6번지",35.07093,129.079771,HK,,,경남,부산,,,9층(혼패층) 8층과 유사 융기문토기 문화층,,charcoal,,-24.5,,5910,50,Bae_et_al_2013,IC,,부산박물관 2007 동삼동패총정화지역 발굴조사보고서,"Rows of differenet dates from Bae seems to be mixed, thus will use So's data"
107,OR93,KRPDS-1,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,경남,부산,,,,,bone,,,,4580,40,Bae_et_al_2013,,,,
108,OR94,KRPDS-2,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,경남,부산,,,,,bone,,,,4855,40,Bae_et_al_2013,,,,
109,OR95,KRPDS-3,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,경남,부산,,,,,wild boar bone,,,,4610,40,Bae_et_al_2013,,,,
110,OR96,KRPDS-4,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,경남,부산,,,,,whale bone,,,,6075,40,Bae_et_al_2013,,,,
111,OR97,KRPDS-5,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,경남,부산,,,,,dog bone,,,,5085,40,Bae_et_al_2013,,,,
112,OR98,KRPDS-6,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,경남,부산,,,,,deer bone,,,,4410,40,Bae_et_al_2013,,,,
113,OR99,KRPDS-7,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,경남,부산,,,,,wild boar bone,,,,4520,40,Bae_et_al_2013,,,,
114,OR100,KRPDS-9,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,경남,부산,,,,,eared sea lion bone,,,,5680,,Bae_et_al_2013,,,,
115,OR101,KRPDS-10,,동삼동,,,Dongsamdong,,1,,35.07093,129.079771,HK,,,경남,부산,,,,,whale bone,,,,5400,40,Bae_et_al_2013,,,,
116,OR102,SNU01-182,,진안 진그늘,,,jingueneul,,1,정천면 모정리 1852,35.886225,127.472179,HL,,,전북,진안,,,1호 적석유구,,charcoal,,,,4040,100,Bae_et_al_2013,MC,,조선대박물관 2005:217-221 진안 진그늘 선사유적,
117,OR103,SNU01-183,,진안 진그늘,,,jingueneul,,1,정천면 모정리 1852,35.886225,127.472179,HL,,,전북,진안,,,ㄷ꼴 유구,,charcoal,,,,4500,120,Bae_et_al_2013,MC,,조선대박물관 2005:217-221 진안 진그늘 선사유적,
118,OR104,SNU01-184,,진안 진그늘,,,jingueneul,,1,정천면 모정리 1852,35.886225,127.472179,HL,,,전북,진안,,,5호주거지 바닥,,charcoal,,,,3700,100,Bae_et_al_2013,,,,
